;id;name;symbol;slug;num_market_pairs;date_added;max_supply;circulating_supply;total_supply;tags;platform;platform_name;platform_symbol;cmc_rank;last_updated;BTC_price;BTC_volume_24h;BTC_percent_change_1h;BTC_percent_change_24h;BTC_percent_change_7d;BTC_market_cap;BTC_last_updated;EUR_price;EUR_volume_24h;EUR_percent_change_1h;EUR_percent_change_24h;EUR_percent_change_7d;EUR_market_cap;EUR_last_updated;USD_price;USD_volume_24h;USD_percent_change_1h;USD_percent_change_24h;USD_percent_change_7d;USD_market_cap;USD_last_updated
4685;7532;pxUSD Synthetic USD Expiring 1 April 2021;PXUSD_MAR2021;pxusd-synthetic-usd-expiring-1-april-2021;1;2020-10-27T00:00:00.000Z;[];;0.0;19060.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf93340b1a3adf7eedcaec25fae8171d4b736e89f'};4687;Ethereum;ETH;2021-04-28T23:00:00.000Z;1.4364071452109757e-05;1e-08;1.456118413247;-5.467863567311;7.285452403492;0.0;2021-04-28T23:59:03.000Z;0.6489498140865202;1e-08;1.456118413247;-5.467863567311;7.285452403492;0.0;2021-04-28T23:59:06.000Z;0.6489498140865202;0.0;1.456118413247;-5.467863567311;7.285452403492;0.0;2021-04-28T23:00:00.000Z
4686;7539;Colibri Protocol;CLBR;colibri;2;2020-10-29T00:00:00.000Z;[];;0.0;0.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x47a60748de6dbd8dce3991adc5751ce0f32279dc'};4688;Ethereum;ETH;2021-04-28T23:00:00.000Z;1.6133299129523976e-08;1e-08;1.083921174841;3.750532751857;17.577608742477;0.0;2021-04-28T23:59:03.000Z;0.0007288811884299726;1e-08;1.083921174841;3.750532751857;17.577608742477;0.0;2021-04-28T23:59:06.000Z;0.0007288811884299726;0.0;1.083921174841;3.750532751857;17.577608742477;0.0;2021-04-28T23:00:00.000Z
4687;7541;HubDao;HD;hubdao;2;2020-10-29T00:00:00.000Z;[];;0.0;11200000.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6ce654ac973d326f89f0685e7459542641410ed9'};4689;Ethereum;ETH;2021-04-28T23:00:00.000Z;4.4953969839104216e-05;1e-08;0.306873464744;20.744774582407;394.680169372759;0.0;2021-04-28T23:59:03.000Z;2.030961100882917;1e-08;0.306873464744;20.744774582407;394.680169372759;0.0;2021-04-28T23:59:06.000Z;2.030961100882917;0.0;0.306873464744;20.744774582407;394.680169372759;0.0;2021-04-28T23:00:00.000Z
4688;7542;Bloody Token;BLOODY;bloody-token;1;2020-10-29T00:00:00.000Z;[];;0.0;879336.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x892F5A0B08BB7B1eeCCCC63EF3916fF201c93664'};4690;Ethereum;ETH;2021-04-28T23:00:00.000Z;5.7815490680282345e-08;1e-08;1.083692981383;3.750915758514;15.815718335389;0.0;2021-04-28T23:59:03.000Z;0.002612027658967084;1e-08;1.083692981383;3.750915758514;15.815718335389;0.0;2021-04-28T23:59:06.000Z;0.002612027658967084;0.0;1.083692981383;3.750915758514;15.815718335389;0.0;2021-04-28T23:00:00.000Z
4689;7551;YYFI.Protocol;YYFI;yyfi-protocol;4;2020-10-30T00:00:00.000Z;['ethereum'];47000.0;0.0;0.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaF20b44C1C651D1d29cFB916eE2A0630B828Eb7A'};4691;Ethereum;ETH;2021-04-28T23:00:00.000Z;1.897176830445429e-06;1e-08;-0.002476954576;-0.001974578095;0.007978079575;0.0;2021-04-28T23:59:03.000Z;0.0857119484201663;1e-08;-0.002476954576;-0.001974578095;0.007978079575;0.0;2021-04-28T23:59:06.000Z;0.0857119484201663;0.0;-0.002476954576;-0.001974578095;0.007978079575;0.0;2021-04-28T23:00:00.000Z
4690;7557;Gold BCR;GBCR;gold-bcr;2;2020-10-30T00:00:00.000Z;[];6000000.0;0.0;0.0;;4692;;;2021-04-28T23:00:00.000Z;0.031336800717732635;1e-08;-0.002476954576;-0.001974578095;0.007978079579;0.0;2021-04-28T23:59:03.000Z;1415.7553495636523;1e-08;-0.002476954576;-0.001974578095;0.007978079579;0.0;2021-04-28T23:59:06.000Z;1415.7553495636523;0.0;-0.002476954576;-0.001974578095;0.007978079579;0.0;2021-04-28T23:00:00.000Z
4691;7563;DotBased;xDOT;dotbased;1;2020-10-30T00:00:00.000Z;[];;0.0;0.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe5b0792400a47af372486704eda0f1799ee83f54'};4693;Ethereum;ETH;2021-04-28T23:00:00.000Z;0.00024889441984489777;1e-08;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:59:03.000Z;11.244721806350737;1e-08;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:59:06.000Z;11.244721806350737;0.0;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:00:00.000Z
4692;7565;$YEET;YEET;yeet;1;2020-10-31T00:00:00.000Z;[];;0.0;0.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaa62a002ce856d9fe1874e7f8558a38fc1e49cca'};4694;Ethereum;ETH;2021-04-28T23:00:00.000Z;5.8918575264514024e-05;1e-08;1.083692981366;3.750915758583;18.774745152862;0.0;2021-04-28T23:59:03.000Z;2.6618635664425865;1e-08;1.083692981366;3.750915758583;18.774745152862;0.0;2021-04-28T23:59:06.000Z;2.6618635664425865;0.0;1.083692981366;3.750915758583;18.774745152862;0.0;2021-04-28T23:00:00.000Z
4693;7566;stakedFIRO;stFIRO;stakedfiro;1;2020-10-31T00:00:00.000Z;[];;0.0;252207.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x160b1e5aabfd70b2fc40af815014925d71ceed7e'};4695;Ethereum;ETH;2021-04-28T23:00:00.000Z;0.00022558435554049695;1e-08;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:59:03.000Z;10.191603827432308;1e-08;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:59:06.000Z;10.191603827432308;0.0;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:00:00.000Z
4694;7568;Smpl foundation;SMPL;smplfoundation;1;2020-10-31T00:00:00.000Z;[];;0.0;0.0;{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8bf92cad232f72a7c61eb42e9185e8d0ea470f6b'};4696;Ethereum;ETH;2021-04-28T23:00:00.000Z;0.0005100265522287163;1e-08;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:59:03.000Z;23.042327333967737;1e-08;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:59:06.000Z;23.042327333967737;0.0;1.083692981366;3.750915758583;15.815718335463;0.0;2021-04-28T23:00:00.000Z
