;date;coin_id;Symbol;USD;EUR;BTC
0;2021-04-28;1;BTC;45178.68184171446;45178.68184171446;1.0
1;2021-04-28;1027;ETH;2263.1737072570963;2263.1737072570963;0.05009384105508494
2;2021-04-28;1839;BNB;463.64130638295353;463.64130638295353;0.010262391187227233
3;2021-04-28;52;XRP;1.1195646424457248;1.1195646424457248;2.4780816898734892e-05
4;2021-04-28;825;USDT;0.8241001325136778;0.8241001325136778;1.8240906970259768e-05
5;2021-04-28;2010;ADA;1.100664871603659;1.100664871603659;2.4362483072434195e-05
6;2021-04-28;74;DOGE;0.26673210982657736;0.26673210982657736;5.9039374092649544e-06
7;2021-04-28;6636;DOT;27.9912006455904;27.9912006455904;0.0006195665633552308
8;2021-04-28;7083;UNI;35.2722868740917;35.2722868740917;0.0007807285524103986
9;2021-04-28;2;LTC;213.02299565267558;213.02299565267558;0.004715121977197369
10;2021-04-28;1831;BCH;749.7648384081068;749.7648384081068;0.016595544797764164
11;2021-04-28;1975;LINK;29.848034013629707;29.848034013629707;0.0006606663319262752
12;2021-04-28;3077;VET;0.1636573868097511;0.1636573868097511;3.622447139629529e-06
13;2021-04-28;5426;SOL;36.939166737574084;36.939166737574084;0.0008176238268082302
14;2021-04-28;512;XLM;0.4098442303678964;0.4098442303678964;9.071628778453609e-06
15;2021-04-28;3408;USDC;0.8242207675602802;0.8242207675602802;1.8243577146583747e-05
16;2021-04-28;2416;THETA;9.117308814205531;9.117308814205531;0.00020180555170131855
17;2021-04-28;2280;FIL;124.38316865961178;124.38316865961178;0.0027531385066831694
18;2021-04-28;1958;TRX;0.10109881212225295;0.10109881212225295;2.23775479940865e-06
19;2021-04-28;3717;WBTC;45183.531905519936;45183.531905519936;1.0001073529285884
20;2021-04-28;328;XMR;341.5555530042838;341.5555530042838;0.007560104436002338
21;2021-04-28;4687;BUSD;0.8240834729971624;0.8240834729971624;1.8240538222969314e-05
22;2021-04-28;4172;LUNA;13.859464918293057;13.859464918293057;0.00030677001526627787
23;2021-04-28;1376;NEO;75.54248381672627;75.54248381672627;0.0016720825118668305
24;2021-04-28;1720;MIOTA;1.8038980280433479;1.8038980280433479;3.992808011449704e-05
25;2021-04-28;4256;KLAY;1.9864935054362964;1.9864935054362964;4.396970926234779e-05
26;2021-04-28;7186;CAKE;29.777678843029097;29.777678843029097;0.0006591090671338427
27;2021-04-28;7278;AAVE;379.3558845067822;379.3558845067822;0.008396789570706657
28;2021-04-28;1765;EOS;4.9121158035915835;4.9121158035915835;0.00010872640819405491
29;2021-04-28;3602;BSV;238.63366955442706;238.63366955442706;0.005281997168277083
30;2021-04-28;4195;FTT;43.564238299466325;43.564238299466325;0.0009642653686111424
31;2021-04-28;3794;ATOM;18.917808933010683;18.917808933010683;0.00041873308741698296
32;2021-04-28;3635;CRO;0.15412072868115112;0.15412072868115112;3.4113595704522768e-06
33;2021-04-28;3718;BTT;0.005831432312768975;0.005831432312768975;1.2907486617692078e-07
34;2021-04-28;1518;MKR;3631.572526844401;3631.572526844401;0.08038243655642231
35;2021-04-28;1321;ETC;28.854385740236236;28.854385740236236;0.000638672589902664
36;2021-04-28;2011;XTZ;4.323056742305668;4.323056742305668;9.5687978623451e-05
37;2021-04-28;3890;MATIC;0.6370895697604009;0.6370895697604009;1.4101552851685065e-05
38;2021-04-28;4030;ALGO;1.061434789442478;1.061434789442478;2.3494151360176077e-05
39;2021-04-28;4943;DAI;0.824671894548519;0.824671894548519;1.825356254168269e-05
40;2021-04-28;5805;AVAX;23.343534881866514;23.343534881866514;0.000516693580473455
41;2021-04-28;2502;HT;15.293768044078815;15.293768044078815;0.0003385173586440883
42;2021-04-28;4157;RUNE;11.668385754924103;11.668385754924103;0.0002582719388716301
43;2021-04-28;5034;KSM;324.9438093539716;324.9438093539716;0.00719241456606518
44;2021-04-28;5692;COMP;533.5139749005193;533.5139749005193;0.011808976117756366
45;2021-04-28;6892;EGLD;148.43281207230694;148.43281207230694;0.0032854613286936512
46;2021-04-28;4023;BTCB;45175.14191150079;45175.14191150079;0.9999216460049437
47;2021-04-28;873;XEM;0.27559478164692336;0.27559478164692336;6.100106740884606e-06
48;2021-04-28;4066;CHZ;0.4414136712475339;0.4414136712475339;9.770397303623121e-06
49;2021-04-28;131;DASH;238.11246340671292;238.11246340671292;0.005270460617707941
50;2021-04-28;1437;ZEC;198.00438740072835;198.00438740072835;0.004382695097091269
51;2021-04-28;1168;DCR;171.3730153918722;171.3730153918722;0.0037932274339540326
52;2021-04-28;2682;HOT;0.013066918287008091;0.013066918287008091;2.89227524007642e-07
53;2021-04-28;4847;STX;1.8479524701039567;1.8479524701039567;4.0903195816521185e-05
54;2021-04-28;1966;MANA;1.2759655465523363;1.2759655465523363;2.8242646631938904e-05
55;2021-04-28;4642;HBAR;0.23646414002994567;0.23646414002994567;5.233976078771142e-06
56;2021-04-28;3957;LEO;1.902254111653195;1.902254111653195;4.2105126446978414e-05
57;2021-04-28;2130;ENJ;2.242151953328812;2.242151953328812;4.962853854798801e-05
58;2021-04-28;2469;ZIL;0.1635379377762013;0.1635379377762013;3.6198032149137017e-06
59;2021-04-28;2694;NEXO;3.0401455819211174;3.0401455819211174;6.729159546027491e-05
60;2021-04-28;1274;WAVES;15.670201163120915;15.670201163120915;0.0003468494547499674
61;2021-04-28;7129;UST;0.8229198153447891;0.8229198153447891;1.8214781436694536e-05
62;2021-04-28;2586;SNX;13.85913156206159;13.85913156206159;0.00030676263664835727
63;2021-04-28;6719;GRT;1.2637190283403605;1.2637190283403605;2.797157811659616e-05
